Team,Abbv,W,L,RD,R,RA,H,E
New Jersey No Sox,NJN,8,4,18,85,67,130,4
Liverpool Ale Quaffers,LAQ,8,4,15,65,50,108,2
Montreal Expos,EML,5,7,-4,52,56,96,2
Mooney Money,MOO,3,9,-29,47,76,94,0
