Team,Abbv,W,L,RD,R,RA,H,E
Montreal Expos,EML,3,1,13,19,6,36,1
Liverpool Ale Quaffers,LAQ,2,2,7,25,18,39,0
New Jersey No Sox,NJN,2,2,-7,18,25,30,1
Mooney Money,MOO,1,3,-13,6,19,23,0
