Team,Abbv,W,L,RD,R,RA,H,E
Liverpool Ale Quaffers,LAQ,14,6,53,142,89,215,2
Montreal Expos,EML,12,8,26,131,105,200,4
New Jersey No Sox,NJN,9,11,-24,118,142,199,5
Mooney Money,MOO,5,15,-55,102,157,183,1
