Team,W,L,RD,R,RA,H,E
Liverpool Ale Quaffers,23,21,21,208,187,400,8
New York Bankers,23,21,-1,184,185,350,0
Canada Hosers,22,22,-12,175,187,345,0
Denver Stoners,20,24,-8,205,213,383,0
