Team,Abbv,W,L,RD,R,RA,H,E
Canada Hosers,CAN,378,290,187,3371,3184,6241,1
New York Bankers,NYB,344,324,-169,3259,3428,5948,0
Denver Stoners,DVS,323,345,230,3435,3205,5945,0
Liverpool Ale Quaffers,LAQ,291,377,-248,3132,3380,5561,102
