Team,Abbv,W,L,RD,R,RA,H,E
Liverpool Ale Quaffers,LAQ,31,9,96,251,155,368,5
Montreal Expos,EML,20,20,12,259,247,427,8
Mooney Money,MOO,20,20,-12,247,259,370,0
New Jersey No Sox,NJN,9,31,-96,155,251,309,7
