Team,Abbv,W,L,RD,R,RA,H,E
Canada Hosers,CAN,380,292,188,3387,3199,6269,2
New York Bankers,NYB,347,325,-163,3284,3447,5990,0
Denver Stoners,DVS,324,348,224,3454,3230,5977,0
Liverpool Ale Quaffers,LAQ,293,379,-249,3147,3396,5593,103
